Id,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,cat_crop
1,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,1254,2000,Nuts
2,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Other Kharif pulses,2,1,Pulses
3,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102,321,Cereal
4,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176,641,Fruits
5,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Cashewnut,720,165,Nuts
6,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,18168,65100000,Fruits
7,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Dry ginger,36,100,Species
8,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1,2,Sugarcane
9,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,5,15,Vegetables
10,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,40,169,Beans
11,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,1254,2061,Nuts
12,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Other Kharif pulses,2,1,Pulses
13,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83,300,Cereal
14,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Cashewnut,719,192,Nuts
15,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,18190,64430000,Fruits
16,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,46,100,Species
17,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1,1,Sugarcane
18,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11,33,Vegetables
19,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84,Cereal
20,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258,2083,Nuts
21,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213,1278,Fruits
22,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63,13.5,Species
23,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,719,208,Nuts
24,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240,67490000,Fruits
25,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,413,28.8,Species
26,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry ginger,47.3,133,Species
27,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5,40,Sugarcane
28,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52,90.17,Cereal
29,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,1261,1525,Nuts
30,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266,1763,Fruits
31,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,75.5,15.86,Species
32,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,717,208.5,Nuts
33,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,18284.74,68580000,Fruits
34,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,60,102,Species
35,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,102,326.4,Species
36,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,other oilseeds,4.2,0.3,Oilseeds
37,Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57,Cereal
38,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Arecanut,1264.7,805.85,Nuts
39,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,66.42,404.12,Fruits
40,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,85,15.86,Species
41,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Cashewnut,683.5,197.9,Nuts
42,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,18394.7,52380000,Fruits
43,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry chillies,60,145.2,Species
44,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry ginger,118,366,Species
45,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,other oilseeds,1,0.11,Oilseeds
46,Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06,Cereal
47,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,22,582,Fruits
48,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,41,0.1,Species
49,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Cashewnut,450,55.8,Nuts
50,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,13876.57,52030000,Fruits
51,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Turmeric,10,70,Species
52,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Arecanut,896,477.6,Nuts
53,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,198,976,Fruits
54,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,22.16,0.68,Species
55,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Cashewnut,450,85.13,Nuts
56,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,14358,59370000,Fruits
57,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry chillies,3,9,Species
58,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry ginger,6,21,Species
59,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,0.2,0.5,Sugarcane
60,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sweet potato,18,86,Vegetables
61,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Tapioca,52.03,450,Beans
62,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Turmeric,2.5,1.03,Species
63,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10,Cereal
64,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,13.4,41.75,Sugarcane
65,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Arecanut,944,1610,Nuts
66,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Black pepper,23,8.5,Species
67,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Cashewnut,1000.5,260.5,Nuts
68,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry chillies,12,25,Species
69,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry ginger,7,9.64,Species
70,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,3.84,18.22,Cereal
71,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Moong(Green Gram),1.5,1.1,Fruits
72,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Sweet potato,22,208,Vegetables
73,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Turmeric,2,0.5,Species
74,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Urad,1.5,1.16,Pulses
75,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,593,3425,Fruits
76,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Coconut ,14560,71300000,Fruits
77,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Tapioca,69,575,Beans
78,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Arecanut,3100,5200,Nuts
79,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Other Kharif pulses,668,448,Pulses
80,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779,31863,Cereal
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,1531,12073,Fruits
82,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Cashewnut,80,54,Nuts
83,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Coconut ,6992,23900000,Fruits
84,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Dry ginger,352,1120,Species
85,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,other oilseeds,133,55,Oilseeds
86,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sugarcane,141,3736,Sugarcane
87,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sweet potato,78,843,Vegetables
88,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Tapioca,160,2108,Beans
89,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Arecanut,3100,5239,Nuts
90,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Other Kharif pulses,418,199,Pulses
91,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718,27033,Cereal
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Cashewnut,81,33,Nuts
93,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Coconut ,7015,25250000,Fruits
94,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Dry ginger,344,1124,Species
95,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sugarcane,81,2379,Sugarcane
96,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sweet potato,100,5,Vegetables
97,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62,Cereal
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Arecanut,1160,3011.7,Nuts
99,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,957.57,8582,Fruits
100,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Black pepper,175,191.14,Species
101,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Cashewnut,40.5,44,Nuts
102,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Coconut ,3575,15400000,Fruits
103,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry chillies,235.72,824.3,Species
104,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry ginger,98.66,929,Species
105,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,other oilseeds,35.62,21.4,Oilseeds
106,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sugarcane,71.3,1500,Sugarcane
107,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sweet potato,30,240,Vegetables
108,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Tapioca,255,1420,Beans
109,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Turmeric,68,408,Species
110,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791,20118,Cereal
